Kind_of_Business,period,value
Automobile and other motor vehicle dealers,2006-04-01,70287.0
Automobile and other motor vehicle dealers,2006-08-01,76418.0
Automobile and other motor vehicle dealers,2006-12-01,65299.0
Automobile and other motor vehicle dealers,2006-02-01,62018.0
Automobile and other motor vehicle dealers,2006-01-01,60247.0
Automobile and other motor vehicle dealers,2006-07-01,74707.0
Automobile and other motor vehicle dealers,2006-06-01,74196.0
Automobile and other motor vehicle dealers,2006-03-01,76416.0
Automobile and other motor vehicle dealers,2006-05-01,75339.0
Automobile and other motor vehicle dealers,2006-11-01,61655.0
Automobile and other motor vehicle dealers,2006-10-01,64170.0
Automobile and other motor vehicle dealers,2006-09-01,66970.0
Automobile dealers,2006-04-01,63333.0
Automobile dealers,2006-08-01,70525.0
Automobile dealers,2006-12-01,61075.0
Automobile dealers,2006-02-01,57559.0
Automobile dealers,2006-01-01,56440.0
Automobile dealers,2006-07-01,68328.0
Automobile dealers,2006-06-01,66999.0
Automobile dealers,2006-03-01,69930.0
Automobile dealers,2006-05-01,67661.0
Automobile dealers,2006-11-01,57344.0
Automobile dealers,2006-10-01,59614.0
Automobile dealers,2006-09-01,61990.0
"Automotive parts, acc., and tire stores",2006-04-01,5893.0
"Automotive parts, acc., and tire stores",2006-08-01,6579.0
"Automotive parts, acc., and tire stores",2006-12-01,5696.0
"Automotive parts, acc., and tire stores",2006-02-01,5434.0
"Automotive parts, acc., and tire stores",2006-01-01,5490.0
"Automotive parts, acc., and tire stores",2006-07-01,6182.0
"Automotive parts, acc., and tire stores",2006-06-01,6403.0
"Automotive parts, acc., and tire stores",2006-03-01,6338.0
"Automotive parts, acc., and tire stores",2006-05-01,6178.0
"Automotive parts, acc., and tire stores",2006-11-01,5857.0
"Automotive parts, acc., and tire stores",2006-10-01,6195.0
"Automotive parts, acc., and tire stores",2006-09-01,6030.0
"Beer, wine, and liquor stores",2006-04-01,2791.0
"Beer, wine, and liquor stores",2006-08-01,3024.0
"Beer, wine, and liquor stores",2006-12-01,4269.0
"Beer, wine, and liquor stores",2006-02-01,2519.0
"Beer, wine, and liquor stores",2006-01-01,2424.0
"Beer, wine, and liquor stores",2006-07-01,3117.0
"Beer, wine, and liquor stores",2006-06-01,3055.0
"Beer, wine, and liquor stores",2006-03-01,2753.0
"Beer, wine, and liquor stores",2006-05-01,3017.0
"Beer, wine, and liquor stores",2006-11-01,3137.0
"Beer, wine, and liquor stores",2006-10-01,2913.0
"Beer, wine, and liquor stores",2006-09-01,2997.0
Book stores,2006-04-01,987.0
Book stores,2006-08-01,2142.0
Book stores,2006-12-01,2132.0
Book stores,2006-02-01,1101.0
Book stores,2006-01-01,2225.0
Book stores,2006-07-01,1135.0
Book stores,2006-06-01,1238.0
Book stores,2006-03-01,1092.0
Book stores,2006-05-01,1176.0
Book stores,2006-11-01,1142.0
Book stores,2006-10-01,1054.0
Book stores,2006-09-01,1554.0
Building mat. and garden equip. and supplies dealers,2006-04-01,31112.0
Building mat. and garden equip. and supplies dealers,2006-08-01,29303.0
Building mat. and garden equip. and supplies dealers,2006-12-01,23558.0
Building mat. and garden equip. and supplies dealers,2006-02-01,22823.0
Building mat. and garden equip. and supplies dealers,2006-01-01,23330.0
Building mat. and garden equip. and supplies dealers,2006-07-01,28225.0
Building mat. and garden equip. and supplies dealers,2006-06-01,31748.0
Building mat. and garden equip. and supplies dealers,2006-03-01,29657.0
Building mat. and garden equip. and supplies dealers,2006-05-01,34154.0
Building mat. and garden equip. and supplies dealers,2006-11-01,25932.0
Building mat. and garden equip. and supplies dealers,2006-10-01,27821.0
Building mat. and garden equip. and supplies dealers,2006-09-01,26467.0
Building mat. and supplies dealers,2006-04-01,26428.0
Building mat. and supplies dealers,2006-08-01,26886.0
Building mat. and supplies dealers,2006-12-01,21307.0
Building mat. and supplies dealers,2006-02-01,21119.0
Building mat. and supplies dealers,2006-01-01,21699.0
Building mat. and supplies dealers,2006-07-01,25437.0
Building mat. and supplies dealers,2006-06-01,27883.0
Building mat. and supplies dealers,2006-03-01,26691.0
Building mat. and supplies dealers,2006-05-01,29070.0
Building mat. and supplies dealers,2006-11-01,23414.0
Building mat. and supplies dealers,2006-10-01,25298.0
Building mat. and supplies dealers,2006-09-01,24150.0
Clothing and clothing access. stores,2006-04-01,16848.0
Clothing and clothing access. stores,2006-08-01,17832.0
Clothing and clothing access. stores,2006-12-01,31462.0
Clothing and clothing access. stores,2006-02-01,14474.0
Clothing and clothing access. stores,2006-01-01,12893.0
Clothing and clothing access. stores,2006-07-01,16275.0
Clothing and clothing access. stores,2006-06-01,16505.0
Clothing and clothing access. stores,2006-03-01,16386.0
Clothing and clothing access. stores,2006-05-01,17103.0
Clothing and clothing access. stores,2006-11-01,19391.0
Clothing and clothing access. stores,2006-10-01,17253.0
Clothing and clothing access. stores,2006-09-01,16767.0
Clothing stores,2006-04-01,12495.0
Clothing stores,2006-08-01,12948.0
Clothing stores,2006-12-01,21379.0
Clothing stores,2006-02-01,9824.0
Clothing stores,2006-01-01,9489.0
Clothing stores,2006-07-01,12107.0
Clothing stores,2006-06-01,12178.0
Clothing stores,2006-03-01,12148.0
Clothing stores,2006-05-01,12204.0
Clothing stores,2006-11-01,14375.0
Clothing stores,2006-10-01,12964.0
Clothing stores,2006-09-01,12435.0
Department stores,2006-04-01,16811.0
Department stores,2006-08-01,16997.0
Department stores,2006-12-01,30665.0
Department stores,2006-02-01,14800.0
Department stores,2006-01-01,14033.0
Department stores,2006-07-01,16025.0
Department stores,2006-06-01,16706.0
Department stores,2006-03-01,16490.0
Department stores,2006-05-01,17005.0
Department stores,2006-11-01,21167.0
Department stores,2006-10-01,16675.0
Department stores,2006-09-01,15781.0
Department stores(excl. discount department stores),2006-04-01,6194.0
Department stores(excl. discount department stores),2006-08-01,6236.0
Department stores(excl. discount department stores),2006-12-01,12649.0
Department stores(excl. discount department stores),2006-02-01,5717.0
Department stores(excl. discount department stores),2006-01-01,5048.0
Department stores(excl. discount department stores),2006-07-01,5694.0
Department stores(excl. discount department stores),2006-06-01,6058.0
Department stores(excl. discount department stores),2006-03-01,6206.0
Department stores(excl. discount department stores),2006-05-01,6437.0
Department stores(excl. discount department stores),2006-11-01,7982.0
Department stores(excl. discount department stores),2006-10-01,6158.0
Department stores(excl. discount department stores),2006-09-01,5918.0
Discount dept. stores,2006-04-01,10617.0
Discount dept. stores,2006-08-01,10761.0
Discount dept. stores,2006-12-01,18016.0
Discount dept. stores,2006-02-01,9083.0
Discount dept. stores,2006-01-01,8985.0
Discount dept. stores,2006-07-01,10331.0
Discount dept. stores,2006-06-01,10648.0
Discount dept. stores,2006-03-01,10284.0
Discount dept. stores,2006-05-01,10568.0
Discount dept. stores,2006-11-01,13185.0
Discount dept. stores,2006-10-01,10517.0
Discount dept. stores,2006-09-01,9863.0
Drinking places,2006-04-01,1589.0
Drinking places,2006-08-01,1694.0
Drinking places,2006-12-01,1647.0
Drinking places,2006-02-01,1455.0
Drinking places,2006-01-01,1470.0
Drinking places,2006-07-01,1695.0
Drinking places,2006-06-01,1639.0
Drinking places,2006-03-01,1664.0
Drinking places,2006-05-01,1653.0
Drinking places,2006-11-01,1556.0
Drinking places,2006-10-01,1640.0
Drinking places,2006-09-01,1631.0
Electronic shopping and mail-order houses,2006-04-01,15024.0
Electronic shopping and mail-order houses,2006-08-01,16897.0
Electronic shopping and mail-order houses,2006-12-01,23724.0
Electronic shopping and mail-order houses,2006-02-01,14531.0
Electronic shopping and mail-order houses,2006-01-01,15811.0
Electronic shopping and mail-order houses,2006-07-01,14768.0
Electronic shopping and mail-order houses,2006-06-01,15795.0
Electronic shopping and mail-order houses,2006-03-01,17046.0
Electronic shopping and mail-order houses,2006-05-01,16071.0
Electronic shopping and mail-order houses,2006-11-01,19037.0
Electronic shopping and mail-order houses,2006-10-01,17497.0
Electronic shopping and mail-order houses,2006-09-01,16050.0
Electronics and appliance stores,2006-04-01,7790.0
Electronics and appliance stores,2006-08-01,9051.0
Electronics and appliance stores,2006-12-01,15458.0
Electronics and appliance stores,2006-02-01,8236.0
Electronics and appliance stores,2006-01-01,8775.0
Electronics and appliance stores,2006-07-01,8451.0
Electronics and appliance stores,2006-06-01,8509.0
Electronics and appliance stores,2006-03-01,8680.0
Electronics and appliance stores,2006-05-01,8374.0
Electronics and appliance stores,2006-11-01,10339.0
Electronics and appliance stores,2006-10-01,8058.0
Electronics and appliance stores,2006-09-01,8370.0
Electronics stores,2006-04-01,6427.0
Electronics stores,2006-08-01,7482.0
Electronics stores,2006-12-01,13757.0
Electronics stores,2006-02-01,6938.0
Electronics stores,2006-01-01,7450.0
Electronics stores,2006-07-01,6933.0
Electronics stores,2006-06-01,7006.0
Electronics stores,2006-03-01,7223.0
Electronics stores,2006-05-01,6903.0
Electronics stores,2006-11-01,8745.0
Electronics stores,2006-10-01,6594.0
Electronics stores,2006-09-01,6888.0
Family clothing stores,2006-04-01,6460.0
Family clothing stores,2006-08-01,7008.0
Family clothing stores,2006-12-01,11809.0
Family clothing stores,2006-02-01,5017.0
Family clothing stores,2006-01-01,4670.0
Family clothing stores,2006-07-01,6551.0
Family clothing stores,2006-06-01,6342.0
Family clothing stores,2006-03-01,6223.0
Family clothing stores,2006-05-01,6270.0
Family clothing stores,2006-11-01,7910.0
Family clothing stores,2006-10-01,6936.0
Family clothing stores,2006-09-01,6516.0
Floor covering stores,2006-04-01,1851.0
Floor covering stores,2006-08-01,2120.0
Floor covering stores,2006-12-01,1772.0
Floor covering stores,2006-02-01,1712.0
Floor covering stores,2006-01-01,1664.0
Floor covering stores,2006-07-01,1929.0
Floor covering stores,2006-06-01,2124.0
Floor covering stores,2006-03-01,1985.0
Floor covering stores,2006-05-01,2050.0
Floor covering stores,2006-11-01,1957.0
Floor covering stores,2006-10-01,1948.0
Floor covering stores,2006-09-01,2042.0
Food and beverage stores,2006-04-01,42455.0
Food and beverage stores,2006-08-01,44784.0
Food and beverage stores,2006-12-01,49345.0
Food and beverage stores,2006-02-01,39281.0
Food and beverage stores,2006-01-01,41168.0
Food and beverage stores,2006-07-01,44899.0
Food and beverage stores,2006-06-01,44052.0
Food and beverage stores,2006-03-01,42901.0
Food and beverage stores,2006-05-01,44850.0
Food and beverage stores,2006-11-01,44640.0
Food and beverage stores,2006-10-01,43709.0
Food and beverage stores,2006-09-01,43148.0
Food services and drinking places,2006-04-01,35141.0
Food services and drinking places,2006-08-01,36640.0
Food services and drinking places,2006-12-01,37803.0
Food services and drinking places,2006-02-01,31634.0
Food services and drinking places,2006-01-01,32394.0
Food services and drinking places,2006-07-01,36298.0
Food services and drinking places,2006-06-01,35771.0
Food services and drinking places,2006-03-01,35840.0
Food services and drinking places,2006-05-01,36167.0
Food services and drinking places,2006-11-01,33839.0
Food services and drinking places,2006-10-01,35820.0
Food services and drinking places,2006-09-01,35439.0
Fuel dealers,2006-04-01,2523.0
Fuel dealers,2006-08-01,2497.0
Fuel dealers,2006-12-01,3611.0
Fuel dealers,2006-02-01,3828.0
Fuel dealers,2006-01-01,3861.0
Fuel dealers,2006-07-01,2131.0
Fuel dealers,2006-06-01,2294.0
Fuel dealers,2006-03-01,3797.0
Fuel dealers,2006-05-01,2432.0
Fuel dealers,2006-11-01,3179.0
Fuel dealers,2006-10-01,2945.0
Fuel dealers,2006-09-01,2382.0
Furniture and home furnishings stores,2006-04-01,8556.0
Furniture and home furnishings stores,2006-08-01,9940.0
Furniture and home furnishings stores,2006-12-01,11051.0
Furniture and home furnishings stores,2006-02-01,8457.0
Furniture and home furnishings stores,2006-01-01,8595.0
Furniture and home furnishings stores,2006-07-01,9244.0
Furniture and home furnishings stores,2006-06-01,9447.0
Furniture and home furnishings stores,2006-03-01,9412.0
Furniture and home furnishings stores,2006-05-01,9209.0
Furniture and home furnishings stores,2006-11-01,10195.0
Furniture and home furnishings stores,2006-10-01,9178.0
Furniture and home furnishings stores,2006-09-01,9511.0
Furniture stores,2006-04-01,4647.0
Furniture stores,2006-08-01,5359.0
Furniture stores,2006-12-01,5268.0
Furniture stores,2006-02-01,4804.0
Furniture stores,2006-01-01,4794.0
Furniture stores,2006-07-01,4986.0
Furniture stores,2006-06-01,5006.0
Furniture stores,2006-03-01,5154.0
Furniture stores,2006-05-01,4881.0
Furniture stores,2006-11-01,5241.0
Furniture stores,2006-10-01,4854.0
Furniture stores,2006-09-01,5128.0
"Furniture, home furn, electronics, and appliance stores",2006-04-01,16346.0
"Furniture, home furn, electronics, and appliance stores",2006-08-01,18991.0
"Furniture, home furn, electronics, and appliance stores",2006-12-01,26509.0
"Furniture, home furn, electronics, and appliance stores",2006-02-01,16693.0
"Furniture, home furn, electronics, and appliance stores",2006-01-01,17370.0
"Furniture, home furn, electronics, and appliance stores",2006-07-01,17695.0
"Furniture, home furn, electronics, and appliance stores",2006-06-01,17956.0
"Furniture, home furn, electronics, and appliance stores",2006-03-01,18092.0
"Furniture, home furn, electronics, and appliance stores",2006-05-01,17583.0
"Furniture, home furn, electronics, and appliance stores",2006-11-01,20534.0
"Furniture, home furn, electronics, and appliance stores",2006-10-01,17236.0
"Furniture, home furn, electronics, and appliance stores",2006-09-01,17881.0
Gasoline stations,2006-04-01,36002.0
Gasoline stations,2006-08-01,41051.0
Gasoline stations,2006-12-01,32662.0
Gasoline stations,2006-02-01,29253.0
Gasoline stations,2006-01-01,30800.0
Gasoline stations,2006-07-01,40585.0
Gasoline stations,2006-06-01,39126.0
Gasoline stations,2006-03-01,33887.0
Gasoline stations,2006-05-01,39016.0
Gasoline stations,2006-11-01,31556.0
Gasoline stations,2006-10-01,33208.0
Gasoline stations,2006-09-01,34830.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-04-01,85932.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-08-01,92998.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-12-01,144550.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-02-01,79008.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-01-01,78420.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-07-01,86913.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-06-01,88412.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-03-01,86862.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-05-01,89166.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-11-01,102281.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-10-01,88479.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2006-09-01,87134.0
General merchandise stores,2006-04-01,44249.0
General merchandise stores,2006-08-01,45185.0
General merchandise stores,2006-12-01,70123.0
General merchandise stores,2006-02-01,39537.0
General merchandise stores,2006-01-01,38667.0
General merchandise stores,2006-07-01,43941.0
General merchandise stores,2006-06-01,44758.0
General merchandise stores,2006-03-01,43272.0
General merchandise stores,2006-05-01,45394.0
General merchandise stores,2006-11-01,51829.0
General merchandise stores,2006-10-01,44707.0
General merchandise stores,2006-09-01,42594.0
"Gift, novelty, and souvenir stores",2006-04-01,1225.0
"Gift, novelty, and souvenir stores",2006-08-01,1492.0
"Gift, novelty, and souvenir stores",2006-12-01,2965.0
"Gift, novelty, and souvenir stores",2006-02-01,1263.0
"Gift, novelty, and souvenir stores",2006-01-01,990.0
"Gift, novelty, and souvenir stores",2006-07-01,1483.0
"Gift, novelty, and souvenir stores",2006-06-01,1430.0
"Gift, novelty, and souvenir stores",2006-03-01,1201.0
"Gift, novelty, and souvenir stores",2006-05-01,1440.0
"Gift, novelty, and souvenir stores",2006-11-01,1797.0
"Gift, novelty, and souvenir stores",2006-10-01,1797.0
"Gift, novelty, and souvenir stores",2006-09-01,1419.0
Grocery stores,2006-04-01,38269.0
Grocery stores,2006-08-01,40340.0
Grocery stores,2006-12-01,42924.0
Grocery stores,2006-02-01,35506.0
Grocery stores,2006-01-01,37489.0
Grocery stores,2006-07-01,40357.0
Grocery stores,2006-06-01,39569.0
Grocery stores,2006-03-01,38827.0
Grocery stores,2006-05-01,40341.0
Grocery stores,2006-11-01,39989.0
Grocery stores,2006-10-01,39322.0
Grocery stores,2006-09-01,38766.0
Hardware stores,2006-04-01,1755.0
Hardware stores,2006-08-01,1726.0
Hardware stores,2006-12-01,1750.0
Hardware stores,2006-02-01,1279.0
Hardware stores,2006-01-01,1343.0
Hardware stores,2006-07-01,1752.0
Hardware stores,2006-06-01,1877.0
Hardware stores,2006-03-01,1554.0
Hardware stores,2006-05-01,2004.0
Hardware stores,2006-11-01,1691.0
Hardware stores,2006-10-01,1654.0
Hardware stores,2006-09-01,1598.0
Health and personal care stores,2006-04-01,17763.0
Health and personal care stores,2006-08-01,18813.0
Health and personal care stores,2006-12-01,21246.0
Health and personal care stores,2006-02-01,17218.0
Health and personal care stores,2006-01-01,17892.0
Health and personal care stores,2006-07-01,18006.0
Health and personal care stores,2006-06-01,18454.0
Health and personal care stores,2006-03-01,19024.0
Health and personal care stores,2006-05-01,19038.0
Health and personal care stores,2006-11-01,18890.0
Health and personal care stores,2006-10-01,18892.0
Health and personal care stores,2006-09-01,18100.0
"Hobby, toy, and game stores",2006-04-01,1094.0
"Hobby, toy, and game stores",2006-08-01,1043.0
"Hobby, toy, and game stores",2006-12-01,3299.0
"Hobby, toy, and game stores",2006-02-01,1022.0
"Hobby, toy, and game stores",2006-01-01,1063.0
"Hobby, toy, and game stores",2006-07-01,1070.0
"Hobby, toy, and game stores",2006-06-01,1048.0
"Hobby, toy, and game stores",2006-03-01,1117.0
"Hobby, toy, and game stores",2006-05-01,1040.0
"Hobby, toy, and game stores",2006-11-01,1933.0
"Hobby, toy, and game stores",2006-10-01,1205.0
"Hobby, toy, and game stores",2006-09-01,1086.0
Home furnishings stores,2006-04-01,3909.0
Home furnishings stores,2006-08-01,4581.0
Home furnishings stores,2006-12-01,5783.0
Home furnishings stores,2006-02-01,3653.0
Home furnishings stores,2006-01-01,3801.0
Home furnishings stores,2006-07-01,4258.0
Home furnishings stores,2006-06-01,4441.0
Home furnishings stores,2006-03-01,4258.0
Home furnishings stores,2006-05-01,4328.0
Home furnishings stores,2006-11-01,4954.0
Home furnishings stores,2006-10-01,4324.0
Home furnishings stores,2006-09-01,4383.0
Household appliance stores,2006-04-01,1363.0
Household appliance stores,2006-08-01,1569.0
Household appliance stores,2006-12-01,1701.0
Household appliance stores,2006-02-01,1298.0
Household appliance stores,2006-01-01,1325.0
Household appliance stores,2006-07-01,1518.0
Household appliance stores,2006-06-01,1503.0
Household appliance stores,2006-03-01,1457.0
Household appliance stores,2006-05-01,1471.0
Household appliance stores,2006-11-01,1594.0
Household appliance stores,2006-10-01,1464.0
Household appliance stores,2006-09-01,1482.0
Jewelry stores,2006-04-01,1876.0
Jewelry stores,2006-08-01,2093.0
Jewelry stores,2006-12-01,6748.0
Jewelry stores,2006-02-01,2600.0
Jewelry stores,2006-01-01,1560.0
Jewelry stores,2006-07-01,1928.0
Jewelry stores,2006-06-01,2122.0
Jewelry stores,2006-03-01,1968.0
Jewelry stores,2006-05-01,2568.0
Jewelry stores,2006-11-01,2630.0
Jewelry stores,2006-10-01,1993.0
Jewelry stores,2006-09-01,2017.0
Men's clothing stores,2006-04-01,693.0
Men's clothing stores,2006-08-01,716.0
Men's clothing stores,2006-12-01,1306.0
Men's clothing stores,2006-02-01,557.0
Men's clothing stores,2006-01-01,570.0
Men's clothing stores,2006-07-01,623.0
Men's clothing stores,2006-06-01,704.0
Men's clothing stores,2006-03-01,660.0
Men's clothing stores,2006-05-01,693.0
Men's clothing stores,2006-11-01,823.0
Men's clothing stores,2006-10-01,781.0
Men's clothing stores,2006-09-01,718.0
Miscellaneous store retailers,2006-04-01,8735.0
Miscellaneous store retailers,2006-08-01,9663.0
Miscellaneous store retailers,2006-12-01,11862.0
Miscellaneous store retailers,2006-02-01,8550.0
Miscellaneous store retailers,2006-01-01,8671.0
Miscellaneous store retailers,2006-07-01,8970.0
Miscellaneous store retailers,2006-06-01,9624.0
Miscellaneous store retailers,2006-03-01,9088.0
Miscellaneous store retailers,2006-05-01,10156.0
Miscellaneous store retailers,2006-11-01,9621.0
Miscellaneous store retailers,2006-10-01,9512.0
Miscellaneous store retailers,2006-09-01,9242.0
Motor vehicle and parts dealers,2006-04-01,76180.0
Motor vehicle and parts dealers,2006-08-01,82997.0
Motor vehicle and parts dealers,2006-12-01,70995.0
Motor vehicle and parts dealers,2006-02-01,67452.0
Motor vehicle and parts dealers,2006-01-01,65737.0
Motor vehicle and parts dealers,2006-07-01,80889.0
Motor vehicle and parts dealers,2006-06-01,80599.0
Motor vehicle and parts dealers,2006-03-01,82754.0
Motor vehicle and parts dealers,2006-05-01,81517.0
Motor vehicle and parts dealers,2006-11-01,67512.0
Motor vehicle and parts dealers,2006-10-01,70365.0
Motor vehicle and parts dealers,2006-09-01,73000.0
New car dealers,2006-04-01,56863.0
New car dealers,2006-08-01,63872.0
New car dealers,2006-12-01,55602.0
New car dealers,2006-02-01,51314.0
New car dealers,2006-01-01,50629.0
New car dealers,2006-07-01,61957.0
New car dealers,2006-06-01,60477.0
New car dealers,2006-03-01,62921.0
New car dealers,2006-05-01,61023.0
New car dealers,2006-11-01,51710.0
New car dealers,2006-10-01,53468.0
New car dealers,2006-09-01,55786.0
Nonstore retailers,2006-04-01,21171.0
Nonstore retailers,2006-08-01,23323.0
Nonstore retailers,2006-12-01,31179.0
Nonstore retailers,2006-02-01,21965.0
Nonstore retailers,2006-01-01,23280.0
Nonstore retailers,2006-07-01,20515.0
Nonstore retailers,2006-06-01,21909.0
Nonstore retailers,2006-03-01,25117.0
Nonstore retailers,2006-05-01,22671.0
Nonstore retailers,2006-11-01,26329.0
Nonstore retailers,2006-10-01,24580.0
Nonstore retailers,2006-09-01,22304.0
Office supplies and stationery stores,2006-04-01,1599.0
Office supplies and stationery stores,2006-08-01,2285.0
Office supplies and stationery stores,2006-12-01,2244.0
Office supplies and stationery stores,2006-02-01,1870.0
Office supplies and stationery stores,2006-01-01,2156.0
Office supplies and stationery stores,2006-07-01,1614.0
Office supplies and stationery stores,2006-06-01,1650.0
Office supplies and stationery stores,2006-03-01,1936.0
Office supplies and stationery stores,2006-05-01,1735.0
Office supplies and stationery stores,2006-11-01,1875.0
Office supplies and stationery stores,2006-10-01,1793.0
Office supplies and stationery stores,2006-09-01,2031.0
"Office supplies, stationery, and gift stores",2006-04-01,2824.0
"Office supplies, stationery, and gift stores",2006-08-01,3777.0
"Office supplies, stationery, and gift stores",2006-12-01,5209.0
"Office supplies, stationery, and gift stores",2006-02-01,3133.0
"Office supplies, stationery, and gift stores",2006-01-01,3146.0
"Office supplies, stationery, and gift stores",2006-07-01,3097.0
"Office supplies, stationery, and gift stores",2006-06-01,3080.0
"Office supplies, stationery, and gift stores",2006-03-01,3137.0
"Office supplies, stationery, and gift stores",2006-05-01,3175.0
"Office supplies, stationery, and gift stores",2006-11-01,3672.0
"Office supplies, stationery, and gift stores",2006-10-01,3590.0
"Office supplies, stationery, and gift stores",2006-09-01,3450.0
Other clothing stores,2006-04-01,833.0
Other clothing stores,2006-08-01,961.0
Other clothing stores,2006-12-01,1466.0
Other clothing stores,2006-02-01,786.0
Other clothing stores,2006-01-01,824.0
Other clothing stores,2006-07-01,864.0
Other clothing stores,2006-06-01,904.0
Other clothing stores,2006-03-01,902.0
Other clothing stores,2006-05-01,845.0
Other clothing stores,2006-11-01,966.0
Other clothing stores,2006-10-01,859.0
Other clothing stores,2006-09-01,832.0
Other general merchandise stores,2006-04-01,27438.0
Other general merchandise stores,2006-08-01,28188.0
Other general merchandise stores,2006-12-01,39458.0
Other general merchandise stores,2006-02-01,24737.0
Other general merchandise stores,2006-01-01,24634.0
Other general merchandise stores,2006-07-01,27916.0
Other general merchandise stores,2006-06-01,28052.0
Other general merchandise stores,2006-03-01,26782.0
Other general merchandise stores,2006-05-01,28389.0
Other general merchandise stores,2006-11-01,30662.0
Other general merchandise stores,2006-10-01,28032.0
Other general merchandise stores,2006-09-01,26813.0
Paint and wallpaper stores,2006-04-01,847.0
Paint and wallpaper stores,2006-08-01,998.0
Paint and wallpaper stores,2006-12-01,668.0
Paint and wallpaper stores,2006-02-01,716.0
Paint and wallpaper stores,2006-01-01,744.0
Paint and wallpaper stores,2006-07-01,918.0
Paint and wallpaper stores,2006-06-01,985.0
Paint and wallpaper stores,2006-03-01,895.0
Paint and wallpaper stores,2006-05-01,982.0
Paint and wallpaper stores,2006-11-01,795.0
Paint and wallpaper stores,2006-10-01,900.0
Paint and wallpaper stores,2006-09-01,884.0
Pharmacies and drug stores,2006-04-01,15225.0
Pharmacies and drug stores,2006-08-01,16092.0
Pharmacies and drug stores,2006-12-01,18055.0
Pharmacies and drug stores,2006-02-01,14681.0
Pharmacies and drug stores,2006-01-01,15257.0
Pharmacies and drug stores,2006-07-01,15426.0
Pharmacies and drug stores,2006-06-01,15720.0
Pharmacies and drug stores,2006-03-01,16174.0
Pharmacies and drug stores,2006-05-01,16271.0
Pharmacies and drug stores,2006-11-01,16252.0
Pharmacies and drug stores,2006-10-01,16382.0
Pharmacies and drug stores,2006-09-01,15483.0
Restaurants and other eating places,2006-04-01,30142.0
Restaurants and other eating places,2006-08-01,31728.0
Restaurants and other eating places,2006-12-01,32631.0
Restaurants and other eating places,2006-02-01,27378.0
Restaurants and other eating places,2006-01-01,28260.0
Restaurants and other eating places,2006-07-01,31548.0
Restaurants and other eating places,2006-06-01,30986.0
Restaurants and other eating places,2006-03-01,30970.0
Restaurants and other eating places,2006-05-01,31104.0
Restaurants and other eating places,2006-11-01,29023.0
Restaurants and other eating places,2006-10-01,30416.0
Restaurants and other eating places,2006-09-01,30094.0
"Retail and food services sales, total",2006-04-01,351667.0
"Retail and food services sales, total",2006-08-01,375795.0
"Retail and food services sales, total",2006-12-01,417991.0
"Retail and food services sales, total",2006-02-01,314051.0
"Retail and food services sales, total",2006-01-01,318546.0
"Retail and food services sales, total",2006-07-01,362203.0
"Retail and food services sales, total",2006-06-01,366615.0
"Retail and food services sales, total",2006-03-01,361993.0
"Retail and food services sales, total",2006-05-01,373560.0
"Retail and food services sales, total",2006-11-01,356928.0
"Retail and food services sales, total",2006-10-01,348796.0
"Retail and food services sales, total",2006-09-01,346214.0
Retail sales and food services excl gasoline stations,2006-04-01,315665.0
Retail sales and food services excl gasoline stations,2006-08-01,334744.0
Retail sales and food services excl gasoline stations,2006-12-01,385329.0
Retail sales and food services excl gasoline stations,2006-02-01,284798.0
Retail sales and food services excl gasoline stations,2006-01-01,287746.0
Retail sales and food services excl gasoline stations,2006-07-01,321618.0
Retail sales and food services excl gasoline stations,2006-06-01,327489.0
Retail sales and food services excl gasoline stations,2006-03-01,328106.0
Retail sales and food services excl gasoline stations,2006-05-01,334544.0
Retail sales and food services excl gasoline stations,2006-11-01,325372.0
Retail sales and food services excl gasoline stations,2006-10-01,315588.0
Retail sales and food services excl gasoline stations,2006-09-01,311384.0
Retail sales and food services excl motor vehicle and parts,2006-04-01,275487.0
Retail sales and food services excl motor vehicle and parts,2006-08-01,292798.0
Retail sales and food services excl motor vehicle and parts,2006-12-01,346996.0
Retail sales and food services excl motor vehicle and parts,2006-02-01,246599.0
Retail sales and food services excl motor vehicle and parts,2006-01-01,252809.0
Retail sales and food services excl motor vehicle and parts,2006-07-01,281314.0
Retail sales and food services excl motor vehicle and parts,2006-06-01,286016.0
Retail sales and food services excl motor vehicle and parts,2006-03-01,279239.0
Retail sales and food services excl motor vehicle and parts,2006-05-01,292043.0
Retail sales and food services excl motor vehicle and parts,2006-11-01,289416.0
